brand,product_links
"guerlain
","['GUERLAIN', 'https://www.sephora.com/product/l-essentiel-natural-16h-wear-foundation-spf-20-P444578?skuId=2214872&icid2=products grid:p444578:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/prisme-libre-loose-powder-P390722?skuId=1661461&icid2=products grid:p390722:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/givenchy-le-rouge-sheer-velvet-matte-lipstick-P474948?skuId=2484723&icid2=products grid:p474948:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/givenchy-rouge-rose-perfecto-plumping-lip-balm-24h-hydration-P472700?skuId=2440949&icid2=products grid:p472700:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/le-rouge-deep-velvet-lipstick-P448881?skuId=2387561&icid2=products grid:p448881:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/givenchy-lunar-new-year-le-rouge-deep-velvet-lipstick-P479961?skuId=2484756&icid2=products grid:p479961:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/givenchy-prisme-libre-skin-caring-glow-foundation-P469469?skuId=2430536&icid2=products grid:p469469:product']"
"givenchy
","['Givenchy', 'https://www.sephora.com/product/rouge-interdit-vinyl-color-enhancing-lipstick-P405231?skuId=1797562&icid2=products grid:p405231:product']"
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/eternity-P4099?skuId=77776&icid2=products grid:p4099:product']"
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/euphoria-P117410?skuId=876169&icid2=products grid:p117410:product']"
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/obsessed-for-her-P424553?skuId=2014975&icid2=products grid:p424553:product']"
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/ck-one-all-over-body-spray-P396308?skuId=1428739&icid2=products grid:p396308:product']"
"calvin-klein
","['Calvin Klein', 'https://www.sephora.com/product/eternity-aqua-eau-de-toilette-P281425?skuId=1319789&icid2=products grid:p281425:product']"
